nickname,gender,audio_url,avatar_url,asset_id
少儿故事,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-dw78f.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-dw78f.png,asset-20260224190656-dw78f
流畅女声,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-7nvns.wav,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-7nvns.png,asset-20260224190656-7nvns
魅力女友,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-qr992.wav,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-qr992.png,asset-20260224190656-qr992
黑猫侦探社咪仔,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-f5wvc.wav,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-f5wvc.png,asset-20260224190656-f5wvc
鸡汤女,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-8t7zs.wav,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-8t7zs.png,asset-20260224190656-8t7zs
大壹,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-tnphs.wav,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-tnphs.png,asset-20260224190656-tnphs
儒雅逸辰,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-7n7cg.wav,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-7n7cg.png,asset-20260224190656-7n7cg
儒雅公子,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-k9d7r.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-k9d7r.png,asset-20260224190656-k9d7r
萌丫头,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-mdwbp.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-mdwbp.png,asset-20260224190656-mdwbp
贴心女声,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-ddltv.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-ddltv.png,asset-20260224190656-ddltv
鸡汤妹妹,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-mcs77.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-mcs77.png,asset-20260224190656-mcs77
亮嗓萌仔,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-6g84r.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-6g84r.png,asset-20260224190656-6g84r
懒音绵宝,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-srtjr.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-srtjr.png,asset-20260224190656-srtjr
俏皮女声,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190656-jtswz.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190656-jtswz.png,asset-20260224190656-jtswz
