country,age,gender,occupation,asset_id,image_url
荷兰,22,女性,多肉/花卉种植员,asset-20260224225721-prllw,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/8135ef7d5bfef9c5-asset-20260224225721-prllw.png
南非,24,女性,模特,asset-20260224225851-58vsm,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/7658a918f2ed5a97-asset-20260224225851-58vsm.png
中国,18,女性,美甲师,asset-20260310030618-88hlb,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/1c03c956b2cd1eeb-asset-20260310030618-88hlb.png
中国,40,男性,演员,asset-20260224225822-g22rm,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/45b4d7389f9c4db0-asset-20260224225822-g22rm.png
中国,21,女性,演员,asset-20260224225818-2r9ls,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/3014fca5eb618fe2-asset-20260224225818-2r9ls.png
中国,68,女性,养蜂人,asset-20260224225649-2k9rp,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/56adc849294b9489-asset-20260224225649-2k9rp.png
中国,29,男,模特,asset-20260224201700-zrtml,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/e6d2ec995bac8619-asset-20260224201700-zrtml.png
中国,23,女性,歌手,asset-20260310022434-wvg96,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/bfae21b821491bf4-asset-20260310022434-wvg96.png
印尼,36,男性,教练,asset-20260224225738-zr98d,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/a301ea9813b91d14-asset-20260224225738-zr98d.png
中国,28,女性,网红/主播,asset-20260224225526-g6kpx,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/04a2e2bdb6dd5dea-asset-20260224225526-g6kpx.png
荷兰,22,女性,模特,asset-20260224225803-ftdx6,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/c49b579fae1bf1c8-asset-20260224225803-ftdx6.png
韩国,21,女性,模特,asset-20260224225843-tjnmm,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/62e978f70fefdaf4-asset-20260224225843-tjnmm.png
中国,40,男性,企业高管,asset-20260224225713-cvzq4,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/a113b97e9e19a945-asset-20260224225713-cvzq4.png
韩国,28,男性,模特,asset-20260224225915-jzc9m,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/4def4348b9b92d83-asset-20260224225915-jzc9m.png
日本,35,女性,模特,asset-20260224225901-jg74f,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/69b751b9286799ed-asset-20260224225901-jg74f.png
中国,26,男性,科学家/研究员,asset-20260224225726-46q5p,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/7a4c68228256ab7a-asset-20260224225726-46q5p.png
中国,24,女性,工程师,asset-20260224225719-pnj6s,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/28ac416d9be4d99a-asset-20260224225719-pnj6s.png
丹麦,33,男性,搬运工,asset-20260224225939-s46c7,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/88395fbdfd413c59-asset-20260224225939-s46c7.png
中国,35,女性,模特,asset-20260310022614-wnxlx,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/f4ac4e1a69d84d6c-asset-20260310022614-wnxlx.png
韩国,25,女性,电竞选手,asset-20260224225742-2hv2q,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/ff79f1c22d0d0cd2-asset-20260224225742-2hv2q.png
韩国,32,女性,科学家/研究员,asset-20260224225856-6t6rh,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/092492296d173a69-asset-20260224225856-6t6rh.png
西班牙,24,女性,模特,asset-20260224225934-n2w56,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/0747332d7e64bde4-asset-20260224225934-n2w56.png
中国,25,男性,快递员,asset-20260224225800-gxdwm,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/65042216828d3faa-asset-20260224225800-gxdwm.png
中国,20,女性,模特,asset-20260224225904-v6sf2,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/05920f0e37370125-asset-20260224225904-v6sf2.png
丹麦,59,男性,大学教授,asset-20260224225535-pzn2g,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/af1b3fc44c12fcd1-asset-20260224225535-pzn2g.png
美国,55,男性,演员,asset-20260224225946-vsxnf,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/624fc9bc63de88b6-asset-20260224225946-vsxnf.png
韩国,22,女性,教师,asset-20260310031616-m8mpx,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/86f63598af9edb22-asset-20260310031616-m8mpx.png
加拿大,35,女性,文员/行政,asset-20260310021816-kqkg8,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/7dc3a652c520c86c-asset-20260310021816-kqkg8.png
中国,75,女性,果农,asset-20260224225521-w2t5z,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/7e64815f76537452-asset-20260224225521-w2t5z.png
中国,26,女性,网红/主播,asset-20260401123823-6d4x2,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/45819a4d02a3e20c-asset-20260401123823-6d4x2.png
泰国,30,女性,模特,asset-20260310032858-tbzjx,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/43520d8c8f6be3b1-asset-20260310032858-tbzjx.png
韩国,22,女性,模特,asset-20260224230001-9vf7m,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/1efcdff1ed0afaf7-asset-20260224230001-9vf7m.png
中国,22,男性,演员,asset-20260224225753-45tfg,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/d2ea981e16d1f91a-asset-20260224225753-45tfg.png
南非,24,女性,工程师,asset-20260224225729-zjtbl,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/5476d635cd681ebb-asset-20260224225729-zjtbl.png
中国,45,男性,歌手,asset-20260224225736-s28dw,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/e2b2a9e27efbbc24-asset-20260224225736-s28dw.png
印尼,24,男性,模特,asset-20260224225821-j84ms,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/26077d9d90baa2f9-asset-20260224225821-j84ms.png
中国,67,男性,司机,asset-20260224225659-fj6b2,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/1c83bff9f6f25f96-asset-20260224225659-fj6b2.png
英国,22,女性,演员,asset-20260224225702-m8p4q,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/00aecfdfd9134fed-asset-20260224225702-m8p4q.png
中国,50,女性,工程师,asset-20260224225722-vfcxd,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/6636df923453d580-asset-20260224225722-vfcxd.png
中国,22,女性,教师,asset-20260330160123-jhz8z,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/1f8228a3cff77fd4-asset-20260330160123-jhz8z.png
中国,33,男性,空姐/空少,asset-20260310025556-2vk5n,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/d1b114da3607c349-asset-20260310025556-2vk5n.png
英国,24,女性,演员,asset-20260224225806-zkrlx,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/efbbbacbee392e8e-asset-20260224225806-zkrlx.png
日本,28,男性,模特,asset-20260224225802-8bgrf,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/8bcd82b22bbab8be-asset-20260224225802-8bgrf.png
德国,37,女性,模特,asset-20260310031303-2svc7,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/0ec29072ffa81b2d-asset-20260310031303-2svc7.png
中国,43,男性,模特,asset-20260310022818-s46nv,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/5846fcb29b9c04ff-asset-20260310022818-s46nv.png
中国,22,女,歌手,asset-20260320075131-k78qt,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/36659903a822f4f1-asset-20260320075131-k78qt.png
日本,23,男性,模特,asset-20260224225857-wvxbw,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/2642735dc306e4d0-asset-20260224225857-wvxbw.png
丹麦,30,女性,演员,asset-20260224225953-hzp6f,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/b22ae418f48b449d-asset-20260224225953-hzp6f.png
日本,30,女性,模特,asset-20260224225902-rwghq,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/e609da90fd369ee6-asset-20260224225902-rwghq.png
中国,21,女性,作家,asset-20260320082151-c59tp,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/e9bd4a0718db31d0-asset-20260320082151-c59tp.png
韩国,30,男性,设计师,asset-20260320082041-dtc85,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/c0b5c2f8c38347bb-asset-20260320082041-dtc85.png
中国,57,男性,模特,asset-20260310023004-c8qjc,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/6b86ed2658dbc01b-asset-20260310023004-c8qjc.png
中国,23,男性,作家,asset-20260310032047-m6svd,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/7cf62ebfbc9c7a03-asset-20260310032047-m6svd.png
中国,42,男性,演员,asset-20260224225905-4rc56,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/e39a2dee9eba072b-asset-20260224225905-4rc56.png
中国,40,男性,DJ/音乐制作人,asset-20260310022222-kjz8z,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/b300e52b78c08f36-asset-20260310022222-kjz8z.png
中国,25,男性,外卖员,asset-20260224225640-2hw8q,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/8a39da6f0bfa0add-asset-20260224225640-2hw8q.png
韩国,23,女性,模特,asset-20260224225839-js5ff,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/7c2dadef9c6b4b99-asset-20260224225839-js5ff.png
瑞典,35,女性,店员/收银员,asset-20260310030400-4j25m,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/95b58fa7e4e2af72-asset-20260310030400-4j25m.png
西班牙,24,女性,舞蹈演员,asset-20260224225955-nkw4j,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/6504fb9a1b61ee62-asset-20260224225955-nkw4j.png
中国,38,男性,快递员,asset-20260224225638-nfdps,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/d770b3e216f30fbe-asset-20260224225638-nfdps.png
西班牙,22,男性,模特,asset-20260224225825-d657d,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/efe8f4c49dcbcabf-asset-20260224225825-d657d.png
中国,65,男性,画家,asset-20260224225739-dtlpw,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/0df01786f3f816f4-asset-20260224225739-dtlpw.png
丹麦,26,女性,农民,asset-20260224225952-xptks,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/144306d3ffba7f0c-asset-20260224225952-xptks.png
中国,28,女性,小贩/摊贩,asset-20260320084058-m5gn9,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/9335fd9f46662f5e-asset-20260320084058-m5gn9.png
中国,24,男,模特,asset-20260320075237-29hdx,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/d433fb9bee7afc93-asset-20260320075237-29hdx.png
中国,21,女性,客服,asset-20260320092805-5ltsz,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/392a5f110f42ab7d-asset-20260320092805-5ltsz.png
中国,30,男性,投资银行家/基金经理,asset-20260224225636-gkq5d,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/9acf8d25704a1471-asset-20260224225636-gkq5d.png
南非,26,男性,模特,asset-20260224225819-lrcn9,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/11345a866a56f587-asset-20260224225819-lrcn9.png
韩国,30,男性,模特,asset-20260224225913-mj796,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/5b2d757477714349-asset-20260224225913-mj796.png
中国,45,男性,果农,asset-20260224225524-q2kgb,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/91960706a83c781f-asset-20260224225524-q2kgb.png
泰国,24,女性,收纳整理师,asset-20260330153749-t649m,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/ed19fda299104749-asset-20260330153749-t649m.png
中国,27,女性,调酒师,asset-20260330154219-ldqb9,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/0534ac4538239eea-asset-20260330154219-ldqb9.png
中国,22,女性,店员/收银员,asset-20260320095733-gx8rw,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/fb30f085bf85788b-asset-20260320095733-gx8rw.png
中国,34,女性,歌手,asset-20260320082900-hxvv9,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/188b6a525886eb8c-asset-20260320082900-hxvv9.png
日本,20,女性,模特,asset-20260224225928-gb2jv,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/b842611cdccb3850-asset-20260224225928-gb2jv.png
中国,55,女性,医生,asset-20260224225558-76b5j,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/fe22afa790918d90-asset-20260224225558-76b5j.png
印尼,22,女性,模特,asset-20260224225823-bzwl9,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/6b5e6fce0126a657-asset-20260224225823-bzwl9.png
古巴,26,女性,记者/媒体人,asset-20260310032139-2zqnb,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/f6aa7a380d746502-asset-20260310032139-2zqnb.png
中国,55,女性,果农,asset-20260224225510-m6zvd,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/772369caffda6d6d-asset-20260224225510-m6zvd.png
中国,28,女,美甲师,asset-20260311093150-642hq,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/bec0bf1b91f5e170-asset-20260311093150-642hq.png
巴西,18,女性,客服,asset-20260310032811-tfdfk,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/caf49f9688131926-asset-20260310032811-tfdfk.png
中国,32,女性,快递员,asset-20260224225643-bszww,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/4c92026217c59667-asset-20260224225643-bszww.png
中国,35,男性,咖啡师,asset-20260320081853-dxkgk,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/c0631d229d8ce0c7-asset-20260320081853-dxkgk.png
尼日利亚,38,女性,医生,asset-20260224225743-z9ccn,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/1a80dee86d97a064-asset-20260224225743-z9ccn.png
中国,60,女性,养蜂人,asset-20260224225647-4t975,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/900c21b111b6cccf-asset-20260224225647-4t975.png
美国,40,男性,演员,asset-20260224225839-zd2ff,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/c183685ca818c382-asset-20260224225839-zd2ff.png
中国,22,男性,文员/行政,asset-20260310031050-q2dv5,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/2dc993fb75417fbd-asset-20260310031050-q2dv5.png
中国,37,男性,医生,asset-20260224225519-cscq5,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/e62102940f351824-asset-20260224225519-cscq5.png
中国,42,男性,教师,asset-20260310031415-fr2vm,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/8639542a1f172287-asset-20260310031415-fr2vm.png
中国,25,女,店员/收银员,asset-20260311092805-vmn2n,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/daa941852f7fbb3b-asset-20260311092805-vmn2n.png
中国,18,女,美甲师,asset-20260311090825-qd6pw,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/233875a287124ded-asset-20260311090825-qd6pw.png
美国,30,女性,会计,asset-20260310030502-xg6qc,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/d590aaebb8757b2f-asset-20260310030502-xg6qc.png
法国,24,女性,心理咨询师,asset-20260320082734-cg8fg,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/0b044ace1b03072c-asset-20260320082734-cg8fg.png
中国,22,男性,银行柜员,asset-20260320093216-2vhq4,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/b4ed5652b143fa0a-asset-20260320093216-2vhq4.png
中国,27,男性,程序员,asset-20260310031803-ns4v2,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/827f6c45ce127684-asset-20260310031803-ns4v2.png
中国,22,男性,果农,asset-20260224225601-z8xz8,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/04dbc600aeb8229c-asset-20260224225601-z8xz8.png
澳大利亚,26,女性,大学生,asset-20260310033328-x6ck2,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/9950f535fb871fda-asset-20260310033328-x6ck2.png
美国,27,女性,演员,asset-20260224225951-cxpqq,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/1c8d9589242f9acf-asset-20260224225951-cxpqq.png
英国,37,男性,修理工/水电工,asset-20260224225737-md7sg,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/b2950481ced7baa9-asset-20260224225737-md7sg.png
中国,26,男性,网红/主播,asset-20260224225521-8vppz,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/46ef9bb953a9ce0e-asset-20260224225521-8vppz.png
美国,29,女性,调酒师,asset-20260310031514-6tdhq,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/5e0e44d6c1830407-asset-20260310031514-6tdhq.png
韩国,25,男性,模特,asset-20260224225759-flppg,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/9bb177270c08455d-asset-20260224225759-flppg.png
英国,38,男性,演员,asset-20260224225908-qm7nh,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/6d516e8fea5d698e-asset-20260224225908-qm7nh.png
中国,49,男性,歌手,asset-20260310033156-hlrnq,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/206d6b7fbb2abf30-asset-20260310033156-hlrnq.png
乌兹别克斯坦,23,女性,宠物美容师,asset-20260310030026-k4n4s,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/ce2e285a3d439405-asset-20260310030026-k4n4s.png
中国,31,女,瑜伽/普拉提教练,asset-20260311035902-x5jr7,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/d02a42047e7f74cd-asset-20260311035902-x5jr7.png
中国,38,男性,木匠,asset-20260224225754-dcbxd,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/4a81350c42bdf1f8-asset-20260224225754-dcbxd.png
中国,23,男性,律师,asset-20260310033239-tmmzs,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/02575af118989d5e-asset-20260310033239-tmmzs.png
荷兰,35,男性,演员,asset-20260224230010-hpqhv,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/3cdd46af3d22aa83-asset-20260224230010-hpqhv.png
中国,62,女性,果农,asset-20260224225557-vl4nl,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/ec8bcf87a2d1399b-asset-20260224225557-vl4nl.png
缅甸,56,女性,画家/艺术家,asset-20260310032234-2k77k,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/8135fd27364b5aab-asset-20260310032234-2k77k.png
中国,35,女性,网红/主播,asset-20260224225534-hprxt,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/77e97d9854f027cc-asset-20260224225534-hprxt.png
中国,28,女性,网红/主播,asset-20260224225532-m5ws7,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/b65491747e0dfc8c-asset-20260224225532-m5ws7.png
爱尔兰,35,女性,记者/媒体人,asset-20260320084022-srbz9,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/46da1db40877b578-asset-20260320084022-srbz9.png
中国,19,女性,企业家/CEO,asset-20260330154010-znqgq,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/1338e0ed5b90add2-asset-20260330154010-znqgq.png
泰国,19,男,电竞选手,asset-20260320074000-r57kv,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/1c8627bd4eeb29dd-asset-20260320074000-r57kv.png
西班牙,32,女性,工程师,asset-20260320083829-54qdg,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/93304a7ec23699c9-asset-20260320083829-54qdg.png
丹麦,23,女性,模特,asset-20260224225812-f4tkq,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/343b96ad8c698c2a-asset-20260224225812-f4tkq.png
南非,32,女性,演员,asset-20260224225959-qjtkv,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/902a03656cf0bea9-asset-20260224225959-qjtkv.png
中国,23,女性,农业学家,asset-20260310031849-8hbwd,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/ad5b8e0d1a817f3c-asset-20260310031849-8hbwd.png
中国,31,女性,店员/收银员,asset-20260310031715-l28v2,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/476866e2692cc21d-asset-20260310031715-l28v2.png
荷兰,22,女性,多肉/花卉种植员,asset-20260224225941-vvmqm,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/28457af9b8d0223c-asset-20260224225941-vvmqm.png
阿塞拜疆,25,女,文员/行政,asset-20260311091505-zntgv,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/db7095bfc86c4802-asset-20260311091505-zntgv.png
埃塞俄比亚,20,女性,大学生,asset-20260310031959-dd6xg,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/c8b4a648abdf6e7e-asset-20260310031959-dd6xg.png
中国,72,女性,农民,asset-20260224225637-njl89,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/6aff3dfded261ba9-asset-20260224225637-njl89.png
中国,30,女性,多肉/花卉种植员,asset-20260330153430-98fgc,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/a4181cdeae57d9d2-asset-20260330153430-98fgc.png
中国,24,女性,会计,asset-20260330160351-4b5dk,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/50306dbe171b4e5c-asset-20260330160351-4b5dk.png
肯尼亚,39,女性,公务员,asset-20260320083936-8hhqp,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/image/migrated/5441548b1f360fc2-asset-20260320083936-8hhqp.png
